=== DTE TwinCAT command list 2026-04-27 16:41:36 +08:00 ===
DTE: D:\large_software2\2022\Microsoft Visual Studio\2022\Community\common7\ide\devenv.exe
Version: 17.0

--- Commands containing TwinCAT/TcXae/Run/Config ---
Window.ActivateDocumentWindow | Guid={5EFC7975-14BC-11CF-9B2B-00AA00573819} | ID=289
Debug.Restart | Guid={5EFC7975-14BC-11CF-9B2B-00AA00573819} | ID=296
Window.ActivateWindowSearch | Guid={D63DB1F0-404E-4B21-9648-CA8D99245EC3} | ID=17
Window.ActivateQuickLaunchPreviousCategory | Guid={D63DB1F0-404E-4B21-9648-CA8D99245EC3} | ID=19
Window.ActivateSolutionExplorerSearch | Guid={D63DB1F0-404E-4B21-9648-CA8D99245EC3} | ID=20
Project.ConfigureStartupProjects | Guid={43F755C7-7916-454D-81A9-90D4914019DD} | ID=546
Edit.EmacsActivateRegion | Guid={9A95F3AF-F86A-4AA2-80E6-012BF65DBBC3} | ID=59
ProjectandSolutionContextMenus.Project.ComposeRestart | Guid={7F917E79-7A75-4DCA-AE0A-E57A4A1EC5CE} | ID=772
Debug.TwinCATLiveWatch | Guid={D26F8200-13CA-4378-AE1D-AAE0A9F494B2} | ID=257
TwinCAT.TcProjectCompare | Guid={BF93DAAA-0099-4F12-A536-4341B047972F} | ID=257
TwinCAT.激活配置 | Guid={40EE08E0-8FB4-46E9-BAAB-100E60019B7B} | ID=4357
TwinCAT.重启TwinCAT系统 | Guid={40EE08E0-8FB4-46E9-BAAB-100E60019B7B} | ID=4358
TwinCAT.重启TwinCAT配置模式 | Guid={40EE08E0-8FB4-46E9-BAAB-100E60019B7B} | ID=4359
TwinCAT.重新加载设备 | Guid={40EE08E0-8FB4-46E9-BAAB-100E60019B7B} | ID=4360
TwinCAT.扫描 | Guid={40EE08E0-8FB4-46E9-BAAB-100E60019B7B} | ID=4362
TwinCAT.切换FreeRun状态 | Guid={40EE08E0-8FB4-46E9-BAAB-100E60019B7B} | ID=4363
TwinCAT.显示实时以太网兼容设备 | Guid={40EE08E0-8FB4-46E9-BAAB-100E60019B7B} | ID=4412
TwinCAT.显示在线数据 | Guid={40EE08E0-8FB4-46E9-BAAB-100E60019B7B} | ID=4457
TwinCAT.显示子项 | Guid={40EE08E0-8FB4-46E9-BAAB-100E60019B7B} | ID=4364
TwinCAT.隐藏禁用项 | Guid={40EE08E0-8FB4-46E9-BAAB-100E60019B7B} | ID=4605
TwinCAT.生成映射 | Guid={40EE08E0-8FB4-46E9-BAAB-100E60019B7B} | ID=4356
TwinCAT.更新设备描述通过ETG网站 | Guid={40EE08E0-8FB4-46E9-BAAB-100E60019B7B} | ID=4524
TwinCAT.重新加载设备描述 | Guid={40EE08E0-8FB4-46E9-BAAB-100E60019B7B} | ID=4520
TwinCAT.管理用户自定义白名单 | Guid={40EE08E0-8FB4-46E9-BAAB-100E60019B7B} | ID=4522
TwinCAT.管理用户自定义黑名单 | Guid={40EE08E0-8FB4-46E9-BAAB-100E60019B7B} | ID=4523
TwinCAT.软件保护 | Guid={40EE08E0-8FB4-46E9-BAAB-100E60019B7B} | ID=4532
TwinCAT.更改活动用户 | Guid={40EE08E0-8FB4-46E9-BAAB-100E60019B7B} | ID=4765
TwinCAT.关于TwinCAT | Guid={40EE08E0-8FB4-46E9-BAAB-100E60019B7B} | ID=4548
TwinCAT.激活解决方案 | Guid={40EE08E0-8FB4-46E9-BAAB-100E60019B7B} | ID=4549
View.TwinCATLoggedEvents | Guid={1EA21E6C-61EF-4741-929A-8481D7D6EF2A} | ID=256
